pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,4/20/2022,90.1,-1.98,6.57,"Mikolas, Miles",660821,571945,,swinging_strike,,,,,14,"Jesus Sanchez grounds out, pitcher Miles Mikolas to second baseman Tommy Edman to first baseman Paul Goldschmidt.",R,L,R,MIA,STL,S,,,0,1,2022,0.42,0.79,1.16,1.8,,,,2,1,Bot,,,,,425877,,,6.969225705,-131.0522905,-7.659474682,3.554429737,24.89040407,-21.74625336,3.31,1.59,,,,91.1,2457,6.7,661404,571945,425877,502671,669242,571448,657557,641933,664056,663457,53.82,,,,,,,,8,2,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,193,0,-0.023
SL,4/20/2022,88.5,-1.89,6.57,"Mikolas, Miles",621563,571945,,foul,,,,,14,"Joey Wendle grounds into a force out, fielded by third baseman Nolan Arenado.   Jesus Sanchez out at 3rd.",R,L,R,MIA,STL,S,,,0,1,2022,0.31,0.54,1.16,1.8,,660821,542583,2,4,Bot,,,,,425877,,,6.812884616,-128.6908208,-6.724677767,2.130015778,24.93952046,-25.03170446,3.29,1.55,4,91.4,-22,88.7,2340,6.3,661404,571945,425877,502671,669242,571448,657557,641933,664056,663457,54.18,,,,,,,,30,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,202,0,-0.095
FF,4/20/2022,94.3,-2.14,5.67,"Pallante, Andre",660821,669467,strikeout,swinging_strike,,,,,14,Jesus Sanchez strikes out swinging.,R,L,R,MIA,STL,S,2,,2,2,2022,0.1,0.94,1.12,1.99,,,643265,0,6,Bot,,,,,425877,,,8.309511204,-137.0091164,-6.013693968,-0.480443387,29.14706013,-19.20076433,3.31,1.59,,,,95.2,2080,6.8,661404,669467,425877,502671,669242,571448,657557,641933,664056,663457,53.7,,,0,1,0,0,,43,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,200,-0.048,-0.336
SL,4/20/2022,86.6,-1.91,6.55,"Mikolas, Miles",624585,571945,,blocked_ball,,,,,14,Jorge Soler pops out to first baseman Paul Goldschmidt in foul territory.,R,R,R,MIA,STL,B,,,2,1,2022,0.43,0.38,1.09,0.85,,,500743,2,5,Bot,,,,,425877,,,6.301752247,-125.8302765,-8.179887076,3.308188993,24.61596803,-26.74269304,3.5,1.72,,,,86.8,2441,6.4,661404,571945,425877,502671,669242,571448,657557,641933,664056,663457,54.07,,,,,,,,38,4,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,171,0,0.068
FF,4/20/2022,97.9,-2.01,6.05,"Alcantara, Sandy",669242,645261,,foul,,,,,12,"Tommy Edman grounds into a double play, second baseman Jazz Chisholm Jr.  to shortstop Miguel Rojas to first baseman Jesus Aguilar.   Yadier Molina out at 2nd.    Tommy Edman out at 1st.",R,L,R,MIA,STL,S,,,1,1,2022,-0.7,1.12,1.09,2.67,,,425877,1,8,Top,,,,,607732,,,9.890546265,-142.1676827,-6.14127112,-11.76788245,33.79807607,-15.73188637,3.13,1.47,120,64.1,71,97.1,1947,6,661404,645261,607732,542583,665862,621563,500743,624585,660821,541645,54.49,,,,,,,,54,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,235,0,-0.07
SL,4/20/2022,88.6,-2.27,6.53,"Mikolas, Miles",643265,571945,,ball,,,,,14,Garrett Cooper called out on strikes.,R,R,R,MIA,STL,B,,,0,1,2022,0.22,0.08,1.08,1.52,,,,0,4,Bot,,,,,425877,,,7.725587683,-128.6942201,-6.308152668,0.773331277,27.7851802,-30.09613297,3.4,1.75,,,,88.7,2442,6.5,661404,571945,425877,502671,669242,571448,657557,641933,664056,663457,53.97,,,,,,,,26,2,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,162,0,0.025
SL,4/20/2022,88.4,-1.99,6.52,"Mikolas, Miles",624585,571945,,ball,,,,,14,Jorge Soler pops out to first baseman Paul Goldschmidt in foul territory.,R,R,R,MIA,STL,B,,,0,0,2022,0.44,0.61,1.08,2.04,,,500743,2,5,Bot,,,,,425877,,,6.5889438,-128.5472859,-6.123494921,3.519471468,26.18905194,-24.3359305,3.47,1.78,,,,88.6,2390,6.4,661404,571945,425877,502671,669242,571448,657557,641933,664056,663457,54.07,,,,,,,,38,1,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,187,0,0.032
FF,4/20/2022,93.7,-1.71,6.77,"Gallegos, Giovanny",542583,606149,,foul,,,,,12,Jesus Aguilar strikes out swinging.,R,R,R,MIA,STL,S,,,0,1,2022,-0.76,1.7,1.07,2.93,,,,0,9,Bot,,,,,425877,,,8.772112754,-135.9210137,-7.745739674,-11.53834615,33.78974157,-9.591147372,3.66,1.73,169,80.5,67,92.1,2273,5.8,661404,606149,425877,502671,669242,571448,657557,641933,664056,663457,54.7,,,,,,,,64,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Infield shift,Standard,208,0,-0.046
SL,4/20/2022,84.9,-2.08,6.63,"Gallegos, Giovanny",605119,606149,walk,ball,,,,,12,Brian Anderson walks.   Avisail Garcia to 2nd.,R,R,R,MIA,STL,B,,,3,1,2022,0.1,0.39,1.07,2.47,,,541645,1,9,Bot,,,,,425877,,,7.054328904,-123.3771307,-4.050991896,-0.537753046,27.60013107,-27.58007336,3.27,1.52,,,,83.4,2332,5.6,661404,606149,425877,502671,669242,571448,657557,641933,664056,663457,54.87,,,0.7,1,0,0,,66,5,Slider,0,2,0,2,2,0,0,2,Standard,Standard,242,0.09,0.221
FF,4/20/2022,93.6,-1.85,6.75,"Gallegos, Giovanny",605119,606149,,ball,,,,,14,Brian Anderson walks.   Avisail Garcia to 2nd.,R,R,R,MIA,STL,B,,,1,1,2022,-0.71,1.75,1.06,1.45,,,541645,1,9,Bot,,,,,425877,,,8.960726421,-135.5611531,-11.64350551,-10.69446309,29.63613328,-8.131877223,3.35,1.69,,,,92.6,2316,5.9,661404,606149,425877,502671,669242,571448,657557,641933,664056,663457,54.56,,,,,,,,66,3,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,202,0,0.073
